段,桩号 m,长 m,地面 ft,下游坡°,库侧坡°,地质（可能）,方案 A（坝顶 3900）,方案 A 坝型,方案 A 理由 / 条件,同坝顶若全段 CFRD,同坝顶若全段 RCC,"方案 B（坝顶 4,120，全 RCC）",方案 B 说明
1,0–606,620,3695–3703,30,27,Calaveras 千枚岩/泥质岩（可能）,H 60–62 m；RCC；下游趾 114 m，底宽 118 m；2.06 Mm³；出界 2%/3 m,RCC,西坡下游 30°：CFRD 1.4:1 在此底宽 571 m、9.1 Mm³（占全 CFRD 环 27%）；RCC 底宽 118 m、2.1 Mm³，骨料 1.9 Mm³ 原岩从孔里来,H 60–62 m；CFRD；下游趾 514 m，底宽 571 m；9.14 Mm³；出界 2%/8 m,H 60–62 m；RCC；下游趾 114 m，底宽 118 m；2.06 Mm³；出界 2%/3 m,H 127–129 m；RCC；下游趾 213 m，底宽 217 m；7.98 Mm³；出界 2%/5 m,RCC；坝趾在界内
2,616–1882,1290,3696–3705,21,22,Calaveras 千枚岩/泥质岩（可能）,H 60–62 m；CFRD；下游趾 272 m，底宽 346 m；10.33 Mm³；出界 0%/0 m,CFRD,北鼻尖 21°，离 1.4:1 的闭合极限 35.5° 够远，下游趾 272 m 在界内；10.3 Mm³ 是孔料的主要去处，上游坝趾以内就是坑,H 60–62 m；CFRD；下游趾 272 m，底宽 346 m；10.33 Mm³；出界 0%/0 m,H 60–62 m；RCC；下游趾 134 m，底宽 138 m；3.92 Mm³；出界 0%/0 m,H 127–129 m；RCC；下游趾 225 m，底宽 229 m；13.45 Mm³；出界 0%/0 m,RCC；坝趾在界内
3,1892–2293,420,3697–3703,18,14,变质火山岩（可能）,H 60–62 m；CFRD；下游趾 389 m，底宽 462 m；3.69 Mm³；出界 0%/0 m,CFRD,地面 18° 但坡脚有台阶，CFRD 趾 389 m；若要再抬坝顶，此段先改 RCC（省 2.1 Mm³ 原岩）,H 60–62 m；CFRD；下游趾 389 m，底宽 462 m；3.69 Mm³；出界 0%/0 m,H 60–62 m；RCC；下游趾 109 m，底宽 113 m；1.08 Mm³；出界 0%/0 m,H 127–129 m；RCC；下游趾 206 m，底宽 210 m；4.12 Mm³；出界 0%/0 m,RCC；坝趾在界内
4,2303–2695,410,3697–3705,31,14,变质火山岩（可能）,H 59–62 m；RCC；下游趾 164 m，底宽 168 m；1.60 Mm³；出界 0%/0 m,RCC,东北坡 31–42°：CFRD 坝趾 635 m，54% 桩号出宗地北界最多 197 m；RCC 坝趾 164 m 全在界内。不用 RCC 就得把坝轴向库内退 200 m 以上,H 59–62 m；CFRD；下游趾 635 m，底宽 711 m；10.47 Mm³；出界 54%/197 m,H 59–62 m；RCC；下游趾 164 m，底宽 168 m；1.60 Mm³；出界 0%/0 m,H 126–129 m；RCC；下游趾 311 m，底宽 315 m；6.25 Mm³；出界 0%/0 m,RCC；坝趾在界内
5,2705–2893,200,3700–3855,12,12,变质火山岩（可能）,H 19–61 m；CFRD；下游趾 95 m，底宽 148 m；0.61 Mm³；出界 74%/65 m,CFRD，坝轴内移 80–100 m,沿东界的过渡段，两种坝型的下游坝趾都出界（CFRD 65 m、RCC 41 m）；料 0.6 Mm³ 从孔里来,H 19–61 m；CFRD；下游趾 95 m，底宽 148 m；0.61 Mm³；出界 74%/65 m,H 19–61 m；RCC；下游趾 63 m，底宽 67 m；0.26 Mm³；出界 58%/41 m,H 86–128 m；RCC；下游趾 105 m，底宽 109 m；1.04 Mm³；出界 79%/91 m,RCC；下游坝趾 79% 出界最多 91 m → 内移/改线/用地
6,2903–3323,430,3867–4019,15,13,Calaveras 千枚岩/泥质岩（可能）,H 0–6 m；CFRD；下游趾 10 m，底宽 27 m；0.00 Mm³；出界 100%/10 m,前 60 m 低坝（H ≤ 6 m），其余天然山体,"地面 3,867 ft 起低于坝顶，是题设""低段可用混凝土、按挡水坝分析""的段落（重力坝筛查 FS 5.1 @ 20 m）；坝趾出东界 10 m，要内移",H 0–6 m；CFRD；下游趾 10 m，底宽 27 m；0.00 Mm³；出界 100%/10 m,H 0–6 m；RCC；下游趾 7 m，底宽 11 m；0.00 Mm³；出界 100%/7 m,H 35–73 m；RCC；下游趾 56 m，底宽 60 m；0.60 Mm³；出界 100%/56 m,RCC；下游坝趾 100% 出界最多 56 m → 内移/改线/用地
7,3333–3482,160,4025–4071,16,19,Mehrten 火山泥流（可能）,无坝,无坝,地面 4025–4071 ft 高于坝顶，天然山体挡水,无坝,无坝,H 15–27 m；RCC；下游趾 21 m，底宽 25 m；0.03 Mm³；出界 100%/21 m,RCC；下游坝趾 100% 出界最多 21 m → 内移/改线/用地
8,3492–3762,280,3969–4110,22,11,Mehrten 火山泥流（可能）,无坝,无坝,地面 3969–4110 ft 高于坝顶，天然山体挡水,无坝,无坝,H 3–46 m；RCC；下游趾 34 m，底宽 38 m；0.13 Mm³；出界 100%/34 m,RCC；下游坝趾 100% 出界最多 34 m → 内移/改线/用地
9,3772–4110,350,4123–4234,21,20,Mehrten 火山泥流（可能）,无坝,无坝,地面 4123–4234 ft 高于坝顶，天然山体挡水,无坝,无坝,无坝,无坝（地面高于坝顶）
10,4120–4230,120,4040–4113,16,15,Mehrten 火山泥流（可能）,无坝,无坝,地面 4040–4113 ft 高于坝顶，天然山体挡水,无坝,无坝,H 2–24 m；RCC；下游趾 20 m，底宽 24 m；0.02 Mm³；出界 100%/20 m,RCC；下游坝趾 100% 出界最多 20 m → 内移/改线/用地
